Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,Season,Salary,Team
Ashton Hagans,PG,24.0,19.0,316.0,29.0,71.0,0.408,8.0,25.0,0.32,21.0,46.0,0.457,14.0,17.0,0.824,14.0,31.0,45.0,54.0,11.0,9.0,30.0,40.0,80.0,-0.2,0.3,0.0,2023-24,103550.0,POR
Tyrese Haliburton,PG,23.0,69.0,2224.0,500.0,1048.0,0.477,195.0,535.0,0.364,305.0,513.0,0.595,194.0,227.0,0.855,35.0,236.0,271.0,752.0,83.0,48.0,159.0,75.0,1389.0,7.6,1.5,9.0,2023-24,5808435.0,IND
Tim Hardaway Jr.,SF,31.0,79.0,2120.0,392.0,976.0,0.402,211.0,597.0,0.353,181.0,379.0,0.478,144.0,169.0,0.852,22.0,232.0,254.0,139.0,42.0,6.0,69.0,106.0,1139.0,0.8,1.4,2.2,2023-24,17897728.0,DAL
James Harden,PG,34.0,72.0,2470.0,352.0,822.0,0.428,186.0,488.0,0.381,166.0,334.0,0.497,302.0,344.0,0.878,34.0,335.0,369.0,614.0,77.0,57.0,185.0,127.0,1192.0,5.9,2.5,8.4,2023-24,35680595.0,LAC
Jaden Hardy,SG,21.0,73.0,989.0,195.0,479.0,0.407,81.0,224.0,0.362,114.0,255.0,0.447,59.0,76.0,0.776,20.0,111.0,131.0,109.0,22.0,4.0,62.0,80.0,530.0,-0.4,0.7,0.3,2023-24,1719864.0,DAL
Gary Harris,SG,29.0,54.0,1297.0,131.0,297.0,0.441,76.0,205.0,0.371,55.0,92.0,0.598,34.0,45.0,0.756,24.0,67.0,91.0,87.0,49.0,14.0,31.0,91.0,372.0,1.1,1.5,2.7,2023-24,13000000.0,ORL
Joe Harris,SG,32.0,16.0,170.0,14.0,39.0,0.359,10.0,30.0,0.333,4.0,9.0,0.444,1.0,2.0,0.5,3.0,10.0,13.0,10.0,3.0,2.0,4.0,19.0,39.0,0.0,0.0,0.0,2023-24,19928571.0,DET
Tobias Harris,PF,31.0,70.0,2368.0,463.0,951.0,0.487,91.0,258.0,0.353,372.0,693.0,0.537,187.0,213.0,0.878,80.0,373.0,453.0,217.0,70.0,46.0,93.0,115.0,1204.0,3.2,2.7,5.9,2023-24,39270150.0,PHI
Josh Hart,SF,28.0,81.0,2707.0,295.0,679.0,0.434,80.0,258.0,0.31,215.0,421.0,0.511,91.0,115.0,0.791,128.0,547.0,675.0,331.0,75.0,23.0,118.0,171.0,761.0,2.0,3.6,5.7,2023-24,12960000.0,NYK
Isaiah Hartenstein,C,25.0,75.0,1896.0,235.0,365.0,0.644,1.0,3.0,0.333,234.0,362.0,0.646,111.0,157.0,0.707,244.0,382.0,626.0,188.0,87.0,85.0,93.0,210.0,582.0,4.6,3.5,8.1,2023-24,9245121.0,NYK
Sam Hauser,SF,26.0,79.0,1741.0,249.0,558.0,0.446,197.0,465.0,0.424,52.0,93.0,0.559,17.0,19.0,0.895,45.0,231.0,276.0,82.0,40.0,25.0,32.0,99.0,712.0,2.7,2.1,4.9,2023-24,1927896.0,BOS
Jordan Hawkins,SG,21.0,67.0,1160.0,174.0,456.0,0.382,109.0,298.0,0.366,65.0,158.0,0.411,67.0,80.0,0.838,29.0,119.0,148.0,70.0,19.0,7.0,40.0,72.0,524.0,0.3,1.0,1.3,2023-24,4310160.0,NOP
Jaxson Hayes,C,23.0,70.0,877.0,126.0,175.0,0.72,0.0,8.0,0.0,126.0,167.0,0.754,51.0,82.0,0.622,69.0,142.0,211.0,33.0,34.0,29.0,43.0,123.0,303.0,1.4,1.1,2.5,2023-24,2165000.0,LAL
Killian Hayes,PG,22.0,42.0,1008.0,117.0,283.0,0.413,22.0,74.0,0.297,95.0,209.0,0.455,33.0,50.0,0.66,11.0,108.0,119.0,205.0,36.0,20.0,51.0,75.0,289.0,0.0,0.7,0.7,2023-24,7413955.0,DET
Gordon Hayward,SF,33.0,51.0,1245.0,187.0,403.0,0.464,37.0,90.0,0.411,150.0,313.0,0.479,89.0,120.0,0.742,38.0,143.0,181.0,158.0,40.0,13.0,66.0,67.0,500.0,0.6,0.9,1.5,2023-24,33319397.0,OKC
Scoot Henderson,PG,19.0,62.0,1765.0,307.0,797.0,0.385,87.0,268.0,0.325,220.0,529.0,0.416,167.0,204.0,0.819,53.0,141.0,194.0,336.0,48.0,13.0,212.0,195.0,868.0,-2.5,0.9,-1.7,2023-24,9770880.0,POR
Taylor Hendricks,PF,20.0,40.0,856.0,108.0,240.0,0.45,53.0,140.0,0.379,55.0,100.0,0.55,23.0,29.0,0.793,46.0,139.0,185.0,32.0,28.0,30.0,27.0,77.0,292.0,0.7,0.6,1.2,2023-24,5569920.0,UTA
Tyler Herro,SG,24.0,42.0,1407.0,324.0,735.0,0.441,132.0,333.0,0.396,192.0,402.0,0.478,95.0,111.0,0.856,19.0,203.0,222.0,188.0,30.0,3.0,93.0,63.0,875.0,0.4,1.6,2.0,2023-24,27000000.0,MIA
Buddy Hield,SF,31.0,84.0,2160.0,371.0,850.0,0.436,219.0,568.0,0.386,152.0,282.0,0.539,52.0,59.0,0.881,61.0,208.0,269.0,236.0,70.0,42.0,103.0,169.0,1013.0,1.9,1.6,3.5,2023-24,19845098.0,PHI
Haywood Highsmith,PF,27.0,66.0,1366.0,153.0,329.0,0.465,76.0,192.0,0.396,77.0,137.0,0.562,23.0,36.0,0.639,65.0,145.0,210.0,70.0,53.0,30.0,34.0,117.0,405.0,1.1,1.9,3.1,2023-24,1902137.0,MIA
Aaron Holiday,PG,27.0,78.0,1269.0,186.0,417.0,0.446,84.0,217.0,0.387,102.0,200.0,0.51,58.0,63.0,0.921,23.0,100.0,123.0,140.0,42.0,6.0,53.0,125.0,514.0,1.3,1.2,2.5,2023-24,2019706.0,HOU
Jrue Holiday,PG,33.0,69.0,2263.0,331.0,689.0,0.48,138.0,322.0,0.429,193.0,367.0,0.526,60.0,72.0,0.833,84.0,289.0,373.0,333.0,61.0,53.0,124.0,108.0,860.0,3.3,3.0,6.3,2023-24,36861707.0,BOS
Justin Holiday,SG,34.0,58.0,862.0,88.0,194.0,0.454,55.0,136.0,0.404,33.0,58.0,0.569,3.0,4.0,0.75,9.0,62.0,71.0,67.0,36.0,9.0,14.0,69.0,234.0,0.9,0.9,1.8,2023-24,2019706.0,DEN
Richaun Holmes,C,30.0,40.0,555.0,82.0,147.0,0.558,1.0,3.0,0.333,81.0,144.0,0.563,34.0,47.0,0.723,71.0,111.0,182.0,25.0,11.0,19.0,24.0,74.0,199.0,0.8,0.5,1.3,2023-24,12046020.0,WAS
Chet Holmgren,C,21.0,82.0,2413.0,505.0,953.0,0.53,129.0,349.0,0.37,376.0,604.0,0.623,218.0,275.0,0.793,129.0,519.0,648.0,200.0,53.0,190.0,131.0,197.0,1357.0,4.6,4.4,8.9,2023-24,10386000.0,OKC
Jalen Hood-Schifino,SG,20.0,21.0,109.0,10.0,45.0,0.222,2.0,15.0,0.133,8.0,30.0,0.267,12.0,20.0,0.6,2.0,11.0,13.0,8.0,3.0,2.0,9.0,13.0,34.0,-0.6,0.1,-0.5,2023-24,3695040.0,LAL
Al Horford,C,37.0,65.0,1740.0,214.0,419.0,0.511,108.0,258.0,0.419,106.0,161.0,0.658,26.0,30.0,0.867,82.0,331.0,413.0,168.0,38.0,62.0,48.0,93.0,562.0,3.5,2.7,6.2,2023-24,10000000.0,BOS
Talen Horton-Tucker,PG,23.0,51.0,1009.0,184.0,465.0,0.396,60.0,182.0,0.33,124.0,283.0,0.438,88.0,109.0,0.807,21.0,100.0,121.0,177.0,45.0,19.0,65.0,94.0,516.0,0.3,0.5,0.8,2023-24,11020000.0,UTA
Danuel House Jr.,SF,30.0,34.0,509.0,47.0,105.0,0.448,15.0,50.0,0.3,32.0,55.0,0.582,35.0,46.0,0.761,16.0,42.0,58.0,28.0,15.0,5.0,19.0,45.0,144.0,0.3,0.4,0.7,2023-24,4310250.0,DET
Caleb Houstan,SF,21.0,59.0,815.0,80.0,206.0,0.388,72.0,193.0,0.373,8.0,13.0,0.615,21.0,26.0,0.808,28.0,56.0,84.0,29.0,15.0,4.0,16.0,61.0,253.0,0.7,0.8,1.5,2023-24,2000000.0,ORL
Jett Howard,SF,20.0,18.0,67.0,10.0,30.0,0.333,7.0,25.0,0.28,3.0,5.0,0.6,2.0,4.0,0.5,1.0,6.0,7.0,6.0,2.0,2.0,3.0,4.0,29.0,-0.1,0.1,0.0,2023-24,5026800.0,ORL
Kevin Huerter,SG,25.0,64.0,1562.0,248.0,560.0,0.443,123.0,341.0,0.361,125.0,219.0,0.571,36.0,47.0,0.766,38.0,186.0,224.0,166.0,45.0,23.0,53.0,135.0,655.0,1.5,1.4,2.9,2023-24,15669643.0,SAC
De'Andre Hunter,SF,26.0,57.0,1681.0,304.0,663.0,0.459,117.0,304.0,0.385,187.0,359.0,0.521,166.0,196.0,0.847,31.0,191.0,222.0,87.0,40.0,16.0,83.0,146.0,891.0,1.6,0.6,2.2,2023-24,20089286.0,ATL
Matthew Hurt,PF,23.0,8.0,113.0,12.0,34.0,0.353,5.0,20.0,0.25,7.0,14.0,0.5,3.0,3.0,1.0,9.0,7.0,16.0,4.0,3.0,3.0,2.0,8.0,32.0,0.0,0.1,0.1,2023-24,1181715.25,MEM
Bones Hyland,PG,23.0,37.0,540.0,97.0,251.0,0.386,44.0,135.0,0.326,53.0,116.0,0.457,18.0,23.0,0.783,5.0,50.0,55.0,93.0,26.0,4.0,44.0,51.0,256.0,-0.5,0.5,0.0,2023-24,2306400.0,LAC
Joe Ingles,SF,36.0,68.0,1169.0,99.0,227.0,0.436,70.0,161.0,0.435,29.0,66.0,0.439,28.0,34.0,0.824,18.0,124.0,142.0,203.0,43.0,5.0,67.0,88.0,296.0,1.1,1.5,2.6,2023-24,11000000.0,ORL
Brandon Ingram,SF,26.0,64.0,2103.0,500.0,1017.0,0.492,86.0,242.0,0.355,414.0,775.0,0.534,246.0,307.0,0.801,43.0,281.0,324.0,363.0,50.0,40.0,163.0,145.0,1332.0,2.7,2.4,5.1,2023-24,33833400.0,NOP
Kyrie Irving,SG,31.0,58.0,2030.0,562.0,1131.0,0.497,173.0,421.0,0.411,389.0,710.0,0.548,190.0,210.0,0.905,44.0,246.0,290.0,299.0,74.0,28.0,106.0,112.0,1487.0,4.9,2.0,6.9,2023-24,37037037.0,DAL
Jonathan Isaac,PF,26.0,58.0,914.0,146.0,286.0,0.51,42.0,112.0,0.375,104.0,174.0,0.598,59.0,82.0,0.72,73.0,187.0,260.0,30.0,43.0,70.0,27.0,64.0,393.0,1.5,2.1,3.6,2023-24,17400000.0,ORL
Jaden Ivey,SG,21.0,77.0,2217.0,417.0,973.0,0.429,124.0,369.0,0.336,293.0,604.0,0.485,227.0,303.0,0.749,86.0,178.0,264.0,296.0,57.0,41.0,190.0,204.0,1185.0,-0.5,1.0,0.5,2023-24,7614480.0,DET
Andre Jackson Jr.,SG,22.0,57.0,572.0,50.0,100.0,0.5,17.0,46.0,0.37,33.0,54.0,0.611,8.0,11.0,0.727,43.0,70.0,113.0,50.0,16.0,6.0,28.0,92.0,125.0,0.5,0.5,1.0,2023-24,1119563.0,MIL
GG Jackson II,PF,19.0,48.0,1233.0,241.0,563.0,0.428,102.0,286.0,0.357,139.0,277.0,0.502,115.0,153.0,0.752,53.0,143.0,196.0,59.0,28.0,24.0,65.0,64.0,699.0,0.2,1.1,1.2,2023-24,1991428.0,MEM
Isaiah Jackson,C,22.0,59.0,771.0,155.0,233.0,0.665,0.0,4.0,0.0,155.0,229.0,0.677,73.0,102.0,0.716,94.0,144.0,238.0,50.0,34.0,61.0,39.0,137.0,383.0,2.2,1.1,3.3,2023-24,2696280.0,IND
Jaren Jackson Jr.,C,24.0,66.0,2124.0,516.0,1162.0,0.444,117.0,366.0,0.32,399.0,796.0,0.501,337.0,417.0,0.808,85.0,280.0,365.0,154.0,80.0,106.0,160.0,235.0,1486.0,0.2,2.8,3.0,2023-24,27102202.0,MEM
Reggie Jackson,PG,33.0,82.0,1817.0,326.0,756.0,0.431,102.0,284.0,0.359,224.0,472.0,0.475,79.0,98.0,0.806,33.0,122.0,155.0,308.0,44.0,13.0,106.0,149.0,833.0,0.6,1.5,2.1,2023-24,5000000.0,DEN
Trayce Jackson-Davis,PF,23.0,68.0,1130.0,233.0,332.0,0.702,0.0,1.0,0.0,233.0,331.0,0.704,74.0,132.0,0.561,135.0,206.0,341.0,82.0,29.0,76.0,49.0,108.0,540.0,3.2,1.6,4.8,2023-24,1119563.0,GSW
LeBron James,PF,39.0,71.0,2504.0,685.0,1269.0,0.54,149.0,363.0,0.41,536.0,906.0,0.592,303.0,404.0,0.75,61.0,457.0,518.0,589.0,89.0,38.0,245.0,78.0,1822.0,5.7,2.8,8.5,2023-24,47607350.0,LAL
Jaime Jaquez Jr.,SF,22.0,75.0,2113.0,341.0,697.0,0.489,65.0,202.0,0.322,276.0,495.0,0.558,142.0,175.0,0.811,82.0,203.0,285.0,195.0,77.0,20.0,110.0,167.0,889.0,1.4,2.7,4.0,2023-24,3510600.0,MIA
DaQuan Jeffries,SG,26.0,17.0,46.0,6.0,17.0,0.353,2.0,10.0,0.2,4.0,7.0,0.571,0.0,2.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,3.0,2.0,14.0,-0.1,0.0,-0.1,2023-24,1324828.0,NYK
DaQuan Jeffries,SG,26.0,17.0,46.0,6.0,17.0,0.353,2.0,10.0,0.2,4.0,7.0,0.571,0.0,2.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,3.0,2.0,14.0,-0.1,0.0,-0.1,2023-24,1324828.0,NYK
DaQuan Jeffries,SG,26.0,17.0,46.0,6.0,17.0,0.353,2.0,10.0,0.2,4.0,7.0,0.571,0.0,2.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,3.0,2.0,14.0,-0.1,0.0,-0.1,2023-24,1324828.0,NYK
DaQuan Jeffries,SG,26.0,17.0,46.0,6.0,17.0,0.353,2.0,10.0,0.2,4.0,7.0,0.571,0.0,2.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,3.0,2.0,14.0,-0.1,0.0,-0.1,2023-24,1324828.0,NYK
Trey Jemison,C,24.0,25.0,573.0,75.0,136.0,0.551,0.0,0.0,0.0,75.0,136.0,0.551,21.0,25.0,0.84,64.0,70.0,134.0,27.0,12.0,28.0,34.0,69.0,171.0,0.3,0.6,0.9,2023-24,5767501.75,WAS
Trey Jemison,C,24.0,25.0,573.0,75.0,136.0,0.551,0.0,0.0,0.0,75.0,136.0,0.551,21.0,25.0,0.84,64.0,70.0,134.0,27.0,12.0,28.0,34.0,69.0,171.0,0.3,0.6,0.9,2023-24,5767501.75,MEM
Ty Jerome,SG,26.0,2.0,15.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,2023-24,2439025.0,CLE
Isaiah Joe,SG,24.0,78.0,1445.0,222.0,485.0,0.458,147.0,353.0,0.416,75.0,132.0,0.568,45.0,52.0,0.865,32.0,148.0,180.0,99.0,46.0,22.0,47.0,87.0,636.0,1.9,1.6,3.5,2023-24,1997238.0,OKC
Cameron Johnson,PF,27.0,58.0,1599.0,276.0,619.0,0.446,138.0,353.0,0.391,138.0,266.0,0.519,86.0,109.0,0.789,55.0,196.0,251.0,138.0,49.0,15.0,57.0,105.0,776.0,2.0,1.3,3.3,2023-24,25679348.0,BRK
Jalen Johnson,SF,22.0,56.0,1889.0,359.0,702.0,0.511,71.0,200.0,0.355,288.0,502.0,0.574,107.0,147.0,0.728,74.0,414.0,488.0,203.0,67.0,47.0,101.0,133.0,896.0,2.1,1.7,3.8,2023-24,2925360.0,ATL
James Johnson,PF,36.0,9.0,47.0,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,2.0,2.0,1.0,1.0,3.0,4.0,8.0,5.0,1.0,5.0,9.0,8.0,-0.1,0.1,0.0,2023-24,777703.0,IND
James Johnson,PF,36.0,9.0,47.0,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,2.0,2.0,1.0,1.0,3.0,4.0,8.0,5.0,1.0,5.0,9.0,8.0,-0.1,0.1,0.0,2023-24,777703.0,IND
James Johnson,PF,36.0,9.0,47.0,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,2.0,2.0,1.0,1.0,3.0,4.0,8.0,5.0,1.0,5.0,9.0,8.0,-0.1,0.1,0.0,2023-24,777703.0,IND
James Johnson,PF,36.0,9.0,47.0,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,2.0,2.0,1.0,1.0,3.0,4.0,8.0,5.0,1.0,5.0,9.0,8.0,-0.1,0.1,0.0,2023-24,777703.0,IND
Keldon Johnson,SF,24.0,69.0,2038.0,391.0,862.0,0.454,127.0,367.0,0.346,264.0,495.0,0.533,175.0,221.0,0.792,95.0,282.0,377.0,195.0,51.0,20.0,100.0,149.0,1084.0,1.5,1.5,3.0,2023-24,20000000.0,SAS
Keon Johnson,SG,21.0,5.0,61.0,8.0,21.0,0.381,4.0,10.0,0.4,4.0,11.0,0.364,11.0,12.0,0.917,3.0,4.0,7.0,3.0,3.0,1.0,5.0,5.0,31.0,0.0,0.1,0.1,2023-24,2808720.0,PHO
Nikola Jokić,C,28.0,79.0,2737.0,822.0,1411.0,0.583,83.0,231.0,0.359,739.0,1180.0,0.626,358.0,438.0,0.817,223.0,753.0,976.0,708.0,108.0,68.0,237.0,194.0,2085.0,12.0,5.1,17.0,2023-24,47607350.0,DEN
Colby Jones,SG,21.0,30.0,192.0,28.0,71.0,0.394,2.0,22.0,0.091,26.0,49.0,0.531,6.0,11.0,0.545,17.0,23.0,40.0,20.0,7.0,5.0,10.0,29.0,64.0,-0.2,0.2,0.0,2023-24,2019706.0,SAC
Damian Jones,C,28.0,39.0,270.0,43.0,72.0,0.597,3.0,14.0,0.214,40.0,58.0,0.69,18.0,21.0,0.857,20.0,42.0,62.0,15.0,7.0,13.0,13.0,27.0,107.0,0.4,0.4,0.8,2023-24,2586665.0,CLE
Derrick Jones Jr.,SF,26.0,76.0,1783.0,239.0,495.0,0.483,82.0,239.0,0.343,157.0,256.0,0.613,97.0,136.0,0.713,82.0,168.0,250.0,75.0,53.0,51.0,65.0,121.0,657.0,1.5,1.6,3.1,2023-24,5379706.0,CHI
Derrick Jones Jr.,SF,26.0,76.0,1783.0,239.0,495.0,0.483,82.0,239.0,0.343,157.0,256.0,0.613,97.0,136.0,0.713,82.0,168.0,250.0,75.0,53.0,51.0,65.0,121.0,657.0,1.5,1.6,3.1,2023-24,5379706.0,DAL
Herbert Jones,SF,25.0,76.0,2321.0,293.0,588.0,0.498,114.0,273.0,0.418,179.0,315.0,0.568,137.0,158.0,0.867,74.0,198.0,272.0,199.0,105.0,62.0,93.0,224.0,837.0,3.3,3.0,6.3,2023-24,12015150.0,NOP
Tre Jones,PG,24.0,77.0,2138.0,303.0,600.0,0.505,64.0,191.0,0.335,239.0,409.0,0.584,101.0,118.0,0.856,58.0,231.0,289.0,478.0,78.0,9.0,116.0,92.0,771.0,3.4,1.6,4.9,2023-24,9895833.0,SAS
Tyus Jones,PG,27.0,66.0,1933.0,326.0,666.0,0.489,106.0,256.0,0.414,220.0,410.0,0.537,32.0,40.0,0.8,20.0,159.0,179.0,485.0,71.0,18.0,66.0,48.0,790.0,3.9,0.7,4.5,2023-24,14000000.0,WAS
DeAndre Jordan,C,35.0,36.0,396.0,58.0,93.0,0.624,0.0,0.0,0.0,58.0,93.0,0.624,26.0,53.0,0.491,54.0,103.0,157.0,26.0,6.0,16.0,23.0,56.0,142.0,0.6,0.6,1.2,2023-24,2019706.0,DEN
Cory Joseph,PG,32.0,26.0,296.0,23.0,64.0,0.359,13.0,42.0,0.31,10.0,22.0,0.455,4.0,7.0,0.571,6.0,24.0,30.0,42.0,4.0,3.0,12.0,25.0,63.0,0.0,0.2,0.2,2023-24,2019706.0,IND
Nikola Jović,PF,20.0,46.0,896.0,127.0,281.0,0.452,65.0,163.0,0.399,62.0,118.0,0.525,33.0,47.0,0.702,25.0,167.0,192.0,90.0,25.0,14.0,42.0,82.0,352.0,0.6,1.3,1.9,2023-24,2352000.0,MIA
Luke Kennard,SG,27.0,39.0,999.0,141.0,315.0,0.448,107.0,238.0,0.45,34.0,77.0,0.442,40.0,45.0,0.889,11.0,102.0,113.0,136.0,20.0,2.0,54.0,39.0,429.0,1.4,0.7,2.1,2023-24,14763636.0,MEM
Walker Kessler,C,22.0,64.0,1493.0,229.0,350.0,0.654,4.0,19.0,0.211,225.0,331.0,0.68,56.0,93.0,0.602,165.0,316.0,481.0,60.0,30.0,154.0,66.0,132.0,518.0,2.4,1.7,4.1,2023-24,2831160.0,UTA
Corey Kispert,SF,24.0,80.0,2067.0,386.0,794.0,0.486,184.0,480.0,0.383,202.0,314.0,0.643,114.0,157.0,0.726,30.0,195.0,225.0,156.0,41.0,16.0,98.0,141.0,1070.0,1.7,0.4,2.1,2023-24,3722040.0,WAS
Maxi Kleber,C,32.0,43.0,871.0,63.0,146.0,0.432,32.0,92.0,0.348,31.0,54.0,0.574,33.0,47.0,0.702,30.0,113.0,143.0,68.0,17.0,30.0,28.0,79.0,191.0,0.6,0.8,1.4,2023-24,11000000.0,DAL
Kevin Knox,SF,24.0,31.0,560.0,86.0,186.0,0.462,31.0,94.0,0.33,55.0,92.0,0.598,20.0,22.0,0.909,18.0,57.0,75.0,23.0,13.0,7.0,22.0,50.0,223.0,0.1,0.2,0.4,2023-24,1845593.0,UTA
John Konchar,SF,27.0,55.0,1173.0,88.0,208.0,0.423,38.0,120.0,0.317,50.0,88.0,0.568,21.0,25.0,0.84,72.0,185.0,257.0,110.0,51.0,51.0,46.0,76.0,235.0,0.5,1.7,2.2,2023-24,2400000.0,MEM
Furkan Korkmaz,SG,26.0,35.0,300.0,30.0,76.0,0.395,14.0,40.0,0.35,16.0,36.0,0.444,14.0,20.0,0.7,4.0,26.0,30.0,25.0,14.0,3.0,10.0,17.0,88.0,0.0,0.3,0.4,2023-24,5370370.0,IND
Luke Kornet,C,28.0,63.0,983.0,142.0,203.0,0.7,1.0,1.0,1.0,141.0,202.0,0.698,49.0,54.0,0.907,118.0,143.0,261.0,67.0,23.0,61.0,21.0,77.0,334.0,3.5,1.6,5.1,2023-24,2413304.0,BOS
Jonathan Kuminga,PF,21.0,74.0,1949.0,456.0,862.0,0.529,53.0,165.0,0.321,403.0,697.0,0.578,223.0,299.0,0.746,92.0,263.0,355.0,163.0,55.0,36.0,122.0,169.0,1188.0,2.7,1.9,4.6,2023-24,6012840.0,GSW
Kyle Kuzma,PF,28.0,70.0,2281.0,608.0,1313.0,0.463,151.0,450.0,0.336,457.0,863.0,0.53,186.0,240.0,0.775,62.0,402.0,464.0,296.0,37.0,49.0,192.0,153.0,1553.0,-1.0,1.1,0.2,2023-24,25568182.0,WAS
Jock Landale,C,28.0,56.0,763.0,106.0,206.0,0.515,10.0,40.0,0.25,96.0,166.0,0.578,52.0,65.0,0.8,88.0,84.0,172.0,65.0,20.0,33.0,31.0,74.0,274.0,1.4,0.9,2.3,2023-24,8000000.0,HOU
Jake LaRavia,PF,22.0,35.0,806.0,118.0,303.0,0.389,53.0,156.0,0.34,65.0,147.0,0.442,90.0,109.0,0.826,51.0,77.0,128.0,58.0,29.0,12.0,45.0,69.0,379.0,0.3,0.8,1.0,2023-24,3199920.0,MEM
Zach LaVine,SG,28.0,25.0,872.0,170.0,376.0,0.452,59.0,169.0,0.349,111.0,207.0,0.536,88.0,103.0,0.854,8.0,121.0,129.0,98.0,21.0,8.0,52.0,57.0,487.0,0.8,0.6,1.5,2023-24,40064220.0,CHI
